boutique	page	video_id	chaine	titre	url
furnacefilterscanada	https://www.furnacefilterscanada.com/25x29x4-furnace-filter-camfil-30-30/	nNvMjU3mM_8	Furnace Filters Canada	Furnace Filters Canada	https://www.youtube.com/watch?v=nNvMjU3mM_8
furnacefilterscanada	https://www.furnacefilterscanada.com/aprilaire-35-water-panel-3-pack/	FUlvHvktP1o	AprilAire	How To | Water Panel Replacement for AprilAire Model 700 Humidifier	https://www.youtube.com/watch?v=FUlvHvktP1o
furnacefilterscanada	https://www.furnacefilterscanada.com/camfil-dual-9/	7OoFy2mXqlQ	Camfil USA	30/30 Dual 9 Camfil Air Filter	https://www.youtube.com/watch?v=7OoFy2mXqlQ
furnacefilterscanada	https://www.furnacefilterscanada.com/city-m-air-purifier/	-DLc0k6utbE	Camfil UK	HEPA air purifiers in Poorly ventilated rooms - 2 meters away	https://www.youtube.com/watch?v=-DLc0k6utbE
furnacefilterscanada	https://www.furnacefilterscanada.com/city-m-air-purifier/	4gDSufMTjoE	Camfil	Camfil Air Purifier CITY	https://www.youtube.com/watch?v=4gDSufMTjoE
furnacefilterscanada	https://www.furnacefilterscanada.com/city-m-air-purifier/	HehqVgATt3o	Camfil USA	Camfil USA City M Air Purifier Comparison Benefits	https://www.youtube.com/watch?v=HehqVgATt3o
furnacefilterscanada	https://www.furnacefilterscanada.com/city-m-air-purifier/	dqwF_GBueZM	Camfil UK	A demonstration of the CamCleaner City M Air Cleaner	https://www.youtube.com/watch?v=dqwF_GBueZM
furnacefilterscanada	https://www.furnacefilterscanada.com/city-m-air-purifier/	qT52svhfcBU	Camfil UK	Removal of aerosols in poorly ventilated areas	https://www.youtube.com/watch?v=qT52svhfcBU
furnacefilterscanada	https://www.furnacefilterscanada.com/fantech-hero-150h-428526-merv-8-filter-replacement-kit-2-filters/	7ph8cFLmwxw	Fantech	5 Minutes with Fantech - Proper Fresh Air Appliance Maintenance. Episode 1.	https://www.youtube.com/watch?v=7ph8cFLmwxw
furnacefilterscanada	https://www.furnacefilterscanada.com/learn-how-to-change-the-filter-in-your-furnace/	SGYrVgFSzV4	fordummies	How to Change a Furnace Filter For Dummies	https://www.youtube.com/watch?v=SGYrVgFSzV4
furnacefilterscanada	https://www.furnacefilterscanada.com/venmar-air-exchanger-filter/	hjbFuIsqRpQ	Furnace Filters Canada	How to Replace VENMAR Air Exchanger Filter	https://www.youtube.com/watch?v=hjbFuIsqRpQ
filtrationmontreal	https://www.filtrationmontreal.com/aprilaire-35-boite-de-3-filtres/	FUlvHvktP1o	AprilAire	How To | Water Panel Replacement for AprilAire Model 700 Humidifier	https://www.youtube.com/watch?v=FUlvHvktP1o
filtrationmontreal	https://www.filtrationmontreal.com/camfil-dual-9-filtre-haute-efficacite-et-economique/	7OoFy2mXqlQ	Camfil USA	30/30 Dual 9 Camfil Air Filter	https://www.youtube.com/watch?v=7OoFy2mXqlQ
filtrationmontreal	https://www.filtrationmontreal.com/city-m-purificateur-dair/	-DLc0k6utbE	Camfil UK	HEPA air purifiers in Poorly ventilated rooms - 2 meters away	https://www.youtube.com/watch?v=-DLc0k6utbE
filtrationmontreal	https://www.filtrationmontreal.com/city-m-purificateur-dair/	4gDSufMTjoE	Camfil	Camfil Air Purifier CITY	https://www.youtube.com/watch?v=4gDSufMTjoE
filtrationmontreal	https://www.filtrationmontreal.com/city-m-purificateur-dair/	HehqVgATt3o	Camfil USA	Camfil USA City M Air Purifier Comparison Benefits	https://www.youtube.com/watch?v=HehqVgATt3o
filtrationmontreal	https://www.filtrationmontreal.com/city-m-purificateur-dair/	dqwF_GBueZM	Camfil UK	A demonstration of the CamCleaner City M Air Cleaner	https://www.youtube.com/watch?v=dqwF_GBueZM
filtrationmontreal	https://www.filtrationmontreal.com/city-m-purificateur-dair/	qT52svhfcBU	Camfil UK	Removal of aerosols in poorly ventilated areas	https://www.youtube.com/watch?v=qT52svhfcBU
filtrationmontreal	https://www.filtrationmontreal.com/filtre-venmar-hepa/	hjbFuIsqRpQ	Furnace Filters Canada	How to Replace VENMAR Air Exchanger Filter	https://www.youtube.com/watch?v=hjbFuIsqRpQ
filtrationmontreal	https://www.filtrationmontreal.com/purificateur-air-sanuvox-biopur-hepa-charbon-uvc/	ukoKSbVlbeM	Sanuvox Technologies	Les 6 \u00e9tapes de purification du Biop\u00fcr	https://www.youtube.com/watch?v=ukoKSbVlbeM
filtrationmontreal	https://www.filtrationmontreal.com/sanuvox-r1r-purificateur-air-uv-conduits-residentiels/	wmKzhyg-l9s	Sanuvox Technologies	Sanuvox R1r Configuration et Installation	https://www.youtube.com/watch?v=wmKzhyg-l9s
