domaine,type,url,source,statut
www.furnacefilterscanada.com,page,/,sitemap:pages,200
www.furnacefilterscanada.com,product,/10x10x1-furnace-filter-camfil-30-30/,sitemap:products,
www.furnacefilterscanada.com,category,/10x10x1-furnace-filter/,sitemap:categories,
www.furnacefilterscanada.com,product,/10x20x1-air-filter/,sitemap:products,
www.furnacefilterscanada.com,product,/10x20x1-furnace-filter-merv-11/,sitemap:products,
www.furnacefilterscanada.com,product,/10x20x1-furnace-filter-merv-13-aaf/,sitemap:products,
www.furnacefilterscanada.com,product,/10x20x1-furnace-filter-merv-13/,sitemap:products,
www.furnacefilterscanada.com,product,/10x20x1-furnace-filter-merv-8/,sitemap:products,
www.furnacefilterscanada.com,category,/10x20x1-merv-13/,sitemap:categories,200
www.furnacefilterscanada.com,category,/10x20x1/,sitemap:categories,200
www.furnacefilterscanada.com,product,/10x20x2-furnace-filter-merv-11/,sitemap:products,
www.furnacefilterscanada.com,product,/10x20x2-furnace-filter-merv-13-aaf/,sitemap:products,
www.furnacefilterscanada.com,product,/10x20x2-furnace-filter-merv-8/,sitemap:products,
www.furnacefilterscanada.com,product,/10x20x2-furnace-filter/,sitemap:products,
www.furnacefilterscanada.com,category,/10x20x2-merv-13/,sitemap:categories,200
www.furnacefilterscanada.com,category,/10x20x2/,sitemap:categories,200
www.furnacefilterscanada.com,product,/10x20x4-furnace-filter-camfil-ap-3/,sitemap:products,200
www.furnacefilterscanada.com,product,/10x24x1-furnace-filter-merv-11/,sitemap:products,
www.furnacefilterscanada.com,product,/10x24x1-furnace-filter-merv-13/,sitemap:products,
www.furnacefilterscanada.com,product,/10x24x1-furnace-filter-merv-8/,sitemap:products,
www.furnacefilterscanada.com,product,/10x24x1-furnace-filter/,sitemap:products,
www.furnacefilterscanada.com,category,/10x24x1-merv-13/,sitemap:categories,200
www.furnacefilterscanada.com,category,/10x24x1/,sitemap:categories,200
www.furnacefilterscanada.com,product,/10x25x1-furnace-filter-merv-8/,sitemap:products,
www.furnacefilterscanada.com,product,/10x25x1-furnace-filter/,sitemap:products,
www.furnacefilterscanada.com,category,/10x25x1/,sitemap:categories,200
www.furnacefilterscanada.com,product,/12x12x1-furnace-filter-camfil-30-30/,sitemap:products,
www.furnacefilterscanada.com,product,/12x12x1-furnace-filter-merv-8-aaf/,sitemap:products,
www.furnacefilterscanada.com,category,/12x12x1/,sitemap:categories,
